dema	để mà
bonbon	bòn bon
bogiaima	bộ giải mã
anchiu	ăn chịu
aphuyet	áp huyết
baihoc	bài học
baccua	bậc cửa
amtrinh	âm trình
anbuanaylobuamai	ăn bữa nay, lo bữa mai
bieumau	biểu mẫu
beophi	béo phì
biquan	bí quẫn
a-pac-thai	a-pác-thai
becanhcungque	bẻ cành cung quế
baivatgiao	bái vật giáo
bathungcungvaomotdau	ba thúng cũng vào một đấu
bia	bìa
batdenxanh	bật đèn xanh
anlac	an lạc
banxuathuyet	ban xuất huyết
batvan	bát văn
bauchu	bầu chủ
beophucphich	béo phục phịch
binhlieu	Bình Liêu
anhca	anh cả
biki	bi kí
benhnhan	bệnh nhân
auo	ầu ơ
bandonhiphe	bán đồ nhi phế
bocloi	bộc lôi
bochetchangkhoirom	bò chết chẳng khỏi rơm
baccau	bắc cầu
banhkeo	bánh kẹo
anhdung	anh dũng
bacumbac	Ba Cụm Bắc
bokhuyet	bổ khuyết
baylieng	bay liệng
baoan	báo ân
beainaychong	bè ai nấy chống
amsinh	ấm sinh
anhtuan	anh tuấn
binhluc	binh lực
bangtra	bảng tra
andan	an dân
amho	âm hộ
aoat	ào ạt
banhtro	bánh tro
benhthoikhi	bệnh thời khí
bang	băng
anduocnoinen	ăn được nói nên
annguoi	ăn nguội
babomotgia	ba bó một giạ
batchietyeu	bát chiết yêu
bandumuc	bán du mục
anlao	An Lão
belangsongyen	bể lặng sóng yên
bentre	Bến Tre
amkhu	âm khu
baotho	bảo thọ
biu	bịu
batlitrithu	bất li tri thù
beubeu	bều bệu
banhquaivac	bánh quai vạc
batcomphieumau	bát cơm phiếu mẫu
ampho	âm phổ
bantienmacvong	bần tiện mạc vong
balo	ba lô
babua	ba bửa
anngauannghien	ăn ngấu ăn nghiến
aula	âu là
anthan	ẩn thân
aobo-lu	áo bờ-lu
baodai	bao dai
banngay	ban ngày
bedoi	bè đôi
bongbabongbenh	bống ba bống bếnh
bagia	bà gia
bacbangduong	Bắc băng dương
andaynoido	ăn đây nói đó
bodieugiai	bộ điều giải
aokhi	áo khỉ
baothanh	Bảo Thanh
borua	bọ rùa
andien	An Điền
bacphang	bắc phang
amvihoc	âm vị học
an-pha-be	an-pha-bê
baxuyen	Bá Xuyên
ainu	ái nữ
boidap	bồi đắp
baisay	Bãi Sậy
bachmi	bạch mi
boian	bội ân
any	ăn ý
aovet-tong	áo vét-tông
bao	bão
bantroikhongvantu	bán trời không văn tự
bavo	bá vơ
acnghiepcocau	ác nghiệp cơ cầu
binhco	binh cơ
batnhuoc	bất nhược
bosia	bổ sịa
bangcuuchuong	bảng cửu chương
bachhoatonghop	bách hoá tổng hợp
babebayboi	ba bè bảy bối
baithangiao	bái thần giáo
banhhoi	bánh hỏi
benhvien	bệnh viện
bongcai	bông cải
binhnghi	Bình Nghi
anbinh	An Bình
annhoocay	ăn nhờ ở cậy
binhyen	bình yên
aicha	ái chà
acdieu	ác điểu
bephoangcam	bếp Hoàng Cầm
bachgiachutu	bách gia chư tử
antiec	ăn tiệc
an	an
bengang	bề ngang
anban	ân ban
ai	ái
boong-ke	boong-ke
anluong	ăn lường
bietle	biệt lệ
ansungngoigoccaysung	ăn sung ngồi gốc cây sung
baochu	bảo chủ
bathan	bà thân
bonsevich	bon sê vích
am-pe	am-pe
balao	bà lão
aocanh	ảo cảnh
anvay	ăn vay
bo-de	bô-đê
boncanh	bôn cạnh
baophong	bào phòng
biem	biếm
baonho	bảo nhỏ
bida	bida
batmechieumanh	bát mẻ chiếu manh
baquyen	bá quyền
bienchung	biến chứng
bobien	bờ biển
bannguyetsan	bán nguyệt san
beovan	bèo ván
bachkhoathutonghop	bách khoa thư tổng hợp
baihoaibaihoai	bải hoải bài hoài
bao	bảo
bandan	bần dân
aomacquadau	áo mặc qua đầu
bienuyvien	biên uỷ viên
bao	báo
batmoi	bắt mối
botxoa	bột xoa
aothuat	ảo thuật
banhtrai	bánh trái
aolanh	áo lạnh
at-phan	át-phan
angia	ăn giá
aochuom	ao chuôm
anon	an ổn
bitho	bí thơ
bikhuc	bi khúc
baychu	bây chừ
baoson	Bảo Sơn
baychong	bẫy chông
bangdiem	băng điểm
amoe	ậm oẹ
amsieu	ấm siêu
banloan	bấn loạn
boicau	Bối Cầu
baihoai	bại hoại
bendoisongcho	bến đợi sông chờ
anthuan	An Thuận
boluat	bộ luật
bailo	bại lộ
anbien	An Biên
aogaigiayco	áo gai giày cỏ
bangbang	bâng bâng
amhoc	âm học
benhxahoi	bệnh xã hội
bongnuoc	bóng nước
beubeu	bêu bêu
anthuatu	ăn thừa tự
bienho	biện hộ
an-ca-lo-it	an-ca-lô-ít
bansang	ban sáng
bahoachichchoe	ba hoa chích chòe
banhchung	bánh chưng
bachuaphaigai	bà chúa phải gai
ando	ăn dỗ
anphutrung	An Phú Trung
bacoongmanh	bà cô ông mãnh
anhai	An Hải
bonai	bò nái
batvia	bạt vía
bachchienbachthang	bách chiến bách thắng
baotho	bao thơ
binhvan	Bình Văn
aoken	áo kén
amam	âm âm
atidianguc	A Tì địa ngục
balai	Ba Lai
binhthan	Bình Than
benhoi	bén hơi
barie	ba ri e
baoluu	bảo lưu
bodi	bỏ đi
baky	Ba Kỳ
banbau	bạn bầu
batui	ba tui
banlua	bạn lứa
bobua	bỏ bùa
an-bom	an-bom
bachchien	bách chiến
bolydau	bộ ly dầu
baco	bà cô
acon	ác ôn
banghuu	bằng hữu
ba-do-xuy	ba-đờ-xuy
bothanam	bổ thận âm
boduong	bổ dưỡng
baudieu	bầu diều
baobinh	bạo binh
bechangvincagaycanh	bé chẳng vin, cả gẫy cành
bandoan	bán đoạn
baimin	bãi mìn
bienthetungau	biến thế tự ngẫu
bosiet	bo siết
banmuutinhke	bàn mưu tính kế
bobao	bô báo
anhdung	Anh Dũng
boiroitovo	bối rối tơ vò
bogiau	bờ giậu
boithe	bội thề
baichau	bãi chầu
bengbeng	beng beng
antrung	An Trung
bocgioi	bốc giời
annhumokhoet	ăn như mỏ khoét
angiabua	ăn giả bữa
batxau	bắt xâu
bonguachongxe	bọ ngựa chống xe
bongcoganbongbopcoganbop	bống có gan bống, bớp có gan bớp
anboong	ăn boóng
ansi	ăn sỉ
bocoi	bờ cõi
ahanhactoi	a hành ác tỏi
ai	ải
banhram	bánh ram
badau	ba đậu
anchaodaibat	ăn cháo đái bát
achyeu	ách yếu
anthitnguoikhongbiettanh	ăn thịt người không biết tanh
boday	bố đay
bancai	bàn cãi
bolanboloc	bò lăn bò lóc
banhgiay	bánh giầy
boithuongchientranh	bồi thường chiến tranh
batchau	bát chậu
anngonnguki	ăn ngon ngủ kĩ
anthanh	An Thanh
bavanchinnghin	ba vạn chín nghìn
amthuytunguyen	ẩm thuỷ tư nguyên
anthoidong	An Thới Đông
baixui	bại xụi
batduoc	bắt được
ancabolo	ăn cá bỏ lờ
bochoa	bốc hoả
bangay	ba ngay
baria-vungtau	Bà Rịa-Vũng Tàu
bieuhieu	biểu hiệu
boibep	bồi bếp
bathutoc	ba thứ tóc
baohieu	báo hiệu
bavai	bà vãi
anlen	ăn lên
andan	An Dân
baotay	bạo tay
boduoc	bổ dược
baothau	bao thầu
binhthu	binh thư
benganvungchi	bền gan vững chí
aobanh-to	áo bành-tô
aikhien	ai khiến
ando	An Đô
banhmatgiang	bánh mặt giăng
bongnhoang	bóng nhoáng
banchan	bận chân
botoai	bò toài
bannhuvaidan	bắn như vãi đạn
antonoilon	ăn to nói lớn
au	âu
aobia	áo bìa
amtin	âm tín
bongbong	bong bong
ba-ta	ba-ta
auvang	âu vàng
anca	ăn cá
bogion	bộ giỡn
